## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam_files/sample7.mrkdup.BL.filtered_hist.pdf HISTOGRAM_WIDTH=1000 MINIMUM_PCT=0.5 INPUT=bam_files/sample7.mrkdup.BL.filtered.bam OUTPUT=bam_files/sample7.mrkdup.BL.filtered_inserts.txt TMP_DIR=[tmp]    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 20 23:49:39 BST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
181	168	16	2	237891393	188.357605	28.274671	12245506	FR	7	13	19	25	33	41	55	73	99	123	169			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	1
3	1
4	2
6	2
7	2
9	3
10	2
11	1
12	2
14	3
15	2
16	1
17	3
18	7
19	4
20	7
21	2
22	5
23	10
24	6
25	6
26	11
27	14
28	6
29	12
30	25
31	20
32	34
33	34
34	26
35	42
36	39
37	49
38	55
39	68
40	55
41	68
42	77
43	71
44	56
45	85
46	89
47	88
48	100
49	149
50	113
51	148
52	143
53	163
54	183
55	140
56	190
57	203
58	200
59	274
60	244
61	244
62	241
63	256
64	243
65	262
66	257
67	245
68	284
69	333
70	361
71	329
72	307
73	310
74	327
75	331
76	324
77	328
78	392
79	500
80	647
81	637
82	486
83	399
84	376
85	377
86	392
87	420
88	430
89	550
90	796
91	859
92	822
93	700
94	602
95	546
96	570
97	651
98	714
99	797
100	961
101	1069
102	1028
103	1018
104	1011
105	988
106	945
107	1067
108	1105
109	1276
110	1377
111	1613
112	1620
113	1466
114	1429
115	1476
116	1513
117	1604
118	1793
119	2073
120	2428
121	2973
122	3604
123	3626
124	2946
125	2608
126	2598
127	3043
128	3441
129	3843
130	4707
131	6015
132	7977
133	10074
134	10708
135	10053
136	9448
137	10139
138	11989
139	15055
140	19183
141	22426
142	24373
143	25340
144	26763
145	28212
146	29159
147	30769
148	33612
149	37640
150	42597
151	49024
152	56365
153	59275
154	59969
155	64023
156	71030
157	81964
158	96415
159	113093
160	126692
161	140532
162	153964
163	175585
164	205980
165	237177
166	256432
167	267054
168	271125
169	270858
170	266067
171	260224
172	254180
173	253342
174	255854
175	259670
176	258765
177	253762
178	242376
179	228995
180	215447
181	201600
182	188373
183	179617
184	170698
185	165187
186	161147
187	155517
188	149885
189	143807
190	135858
191	126492
192	117864
193	109632
194	103277
195	97577
196	94486
197	91757
198	90450
199	88645
200	87628
201	85319
202	83647
203	80776
204	79555
205	79460
206	79343
207	80600
208	82673
