## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam_files/sample13.mrkdup.BL.filtered_hist.pdf HISTOGRAM_WIDTH=1000 MINIMUM_PCT=0.5 INPUT=bam_files/sample13.mrkdup.BL.filtered.bam OUTPUT=bam_files/sample13.mrkdup.BL.filtered_inserts.txt TMP_DIR=[tmp]    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Oct 21 00:00:31 BST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
161	165	11	5	245810222	162.739269	42.283045	12131277	FR	5	9	13	19	23	31	39	55	99	179	351			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
5	1
6	1
7	2
13	7
14	2
15	1
16	1
17	1
18	1
19	1
20	1
21	2
23	1
25	3
26	5
27	5
28	11
29	36
30	447
31	540
32	615
33	740
34	727
35	1028
36	1001
37	1248
38	1392
39	1644
40	1688
41	1779
42	1861
43	1931
44	2005
45	2219
46	2243
47	2540
48	2790
49	3274
50	3462
51	3540
52	3397
53	3405
54	3593
55	3510
56	3784
57	4000
58	4489
59	4906
60	5397
61	5181
62	4874
63	4797
64	5003
65	4977
66	5019
67	4978
68	5274
69	6069
70	6463
71	6234
72	6006
73	5693
74	5564
75	6101
76	6091
77	6064
78	6947
79	8114
80	9328
81	9772
82	8244
83	7077
84	6881
85	6970
86	7380
87	7596
88	8328
89	9432
90	11973
91	14026
92	14435
93	12299
94	10869
95	10701
96	10852
97	11555
98	12565
99	13696
100	15555
101	16992
102	18382
103	18271
104	17111
105	16167
106	16075
107	16513
108	17192
109	18353
110	20106
111	22353
112	22638
113	21071
114	19963
115	20205
116	20829
117	22386
118	23294
119	25248
120	28967
121	35409
122	40687
123	40003
124	34996
125	32246
126	33380
127	35647
128	38794
129	42488
130	47375
131	56778
132	69371
133	81071
134	83935
135	80558
136	79231
137	85074
138	97249
139	110313
140	121855
141	131337
142	138599
143	145593
144	150727
145	153684
146	155632
147	159626
148	166180
149	173563
150	180317
151	188506
152	194600
153	197854
154	200699
155	206170
156	217948
157	232435
158	249742
159	263962
160	276531
161	287756
162	303757
163	329473
164	362463
165	383896
166	376756
167	349427
168	319572
169	290435
170	261508
171	235039
172	213006
173	195177
174	182054
175	168337
176	152308
177	135607
178	118163
179	102424
180	90156
181	79081
182	69382
183	62887
184	57302
185	52194
186	48227
187	44308
188	40003
189	35968
190	32598
191	29313
192	26609
193	24154
194	22476
195	20768
196	19460
197	18576
198	17641
199	16762
200	15600
201	14553
202	13597
203	12433
204	11750
205	11180
206	10458
207	9845
208	9376
209	8852
210	8198
211	7685
212	7318
213	6807
214	6271
215	5587
216	5397
217	4946
218	4630
219	4306
220	4165
221	3947
222	3650
223	3439
224	3214
225	2908
226	2669
227	2557
228	2537
229	2381
230	2408
231	2238
232	2174
233	2134
234	2110
235	1992
236	1928
237	1990
238	2052
239	1881
240	1733
241	1739
242	1794
243	1673
244	1661
245	1624
246	1606
247	1667
248	1480
249	1560
250	1546
251	1477
252	1559
253	1656
254	1555
255	1612
256	1529
257	1605
258	1524
259	1513
260	1611
261	1614
262	1681
263	1638
264	1814
265	1780
266	1802
267	1839
268	1825
269	1929
270	1954
271	2127
272	2160
273	2296
274	2435
275	2448
276	2543
277	2631
278	2833
279	3090
280	3305
281	3325
282	3328
283	3375
284	3506
285	3532
286	3727
287	3953
288	4386
289	4555
290	4814
291	5078
292	5226
293	5138
294	5473
295	5524
296	5760
297	6112
298	6520
299	6725
300	6667
301	6823
302	6834
303	6873
304	7130
305	7147
306	7111
307	7479
308	6970
309	7246
310	7091
311	6958
312	6733
313	6800
314	6703
315	6247
316	6069
317	5870
318	5676
319	5419
320	5314
321	5139
322	4967
323	4799
324	4551
325	4433
326	4181
327	4010
328	3617
329	3661
330	3471
331	3354
332	3296
333	3161
334	3009
335	2950
336	2760
337	2614
338	2487
339	2438
340	2334
341	2327
342	2204
343	2105
344	1990
345	1986
346	1843
347	1829
348	1824
349	1760
350	1725
351	1661
352	1578
353	1559
354	1559
355	1432
356	1408
357	1404
358	1341
359	1276
360	1294
361	1254
362	1217
363	1190
364	1150
365	1156
366	1081
367	973
368	964
369	978
370	979
371	920
372	915
373	878
374	834
375	894
376	756
377	788
378	750
379	762
380	731
381	648
382	673
383	615
384	615
385	599
386	591
387	559
388	545
389	515
390	522
391	510
392	410
393	446
394	461
395	470
396	403
397	386
398	425
399	344
400	394
401	334
402	344
403	346
404	315
405	328
406	296
407	291
408	332
409	298
410	258
411	296
412	274
413	279
414	274
415	252
416	270
417	234
418	250
419	240
420	271
421	228
422	227
423	254
424	254
425	247
426	226
427	245
428	255
429	246
430	270
431	239
432	236
433	252
434	255
435	224
436	256
437	247
438	246
439	245
440	280
441	265
442	276
443	273
444	282
445	253
446	239
447	234
448	262
449	249
450	255
451	240
452	266
453	226
454	226
455	250
456	270
457	208
458	238
459	249
460	256
461	236
462	215
463	226
464	223
465	223
466	211
467	243
468	208
469	201
470	225
471	186
472	229
473	198
474	195
475	198
476	183
477	223
478	205
479	188
480	223
481	207
482	181
483	180
484	173
485	202
486	193
487	168
488	183
489	156
490	170
491	174
492	173
493	161
494	167
495	161
496	160
497	136
498	160
499	144
500	134
501	166
502	135
503	140
504	157
505	144
506	133
507	154
508	137
509	138
510	130
511	125
512	130
513	122
514	123
515	121
516	134
517	128
518	115
519	131
520	130
521	143
522	136
523	117
524	115
525	105
526	123
527	104
528	99
529	130
530	147
531	103
532	119
533	119
534	112
535	102
536	116
537	113
538	99
539	117
540	94
541	109
542	109
543	84
544	105
545	131
546	118
547	101
548	100
549	101
550	82
551	109
552	99
553	95
554	93
555	78
556	92
557	78
558	88
559	69
560	103
561	84
562	99
563	70
564	73
565	86
566	84
567	79
568	86
569	85
570	65
571	64
572	75
573	62
574	85
575	72
576	63
577	74
578	62
579	65
580	56
581	56
582	69
583	61
584	61
585	44
586	50
587	74
588	46
589	54
590	53
591	45
592	54
593	57
594	38
595	59
596	64
597	45
598	54
599	44
600	33
601	30
602	43
603	60
604	37
605	41
606	35
607	40
608	57
609	30
610	40
611	43
612	28
613	25
614	27
615	40
616	39
617	29
618	24
619	36
620	49
621	44
622	29
623	35
624	35
625	36
626	32
627	36
628	43
629	27
630	32
631	42
632	34
633	34
634	33
635	33
636	21
637	22
638	28
639	31
640	39
641	31
642	21
643	24
644	29
645	18
646	23
647	21
648	33
649	26
650	21
651	27
652	27
653	17
654	14
655	26
656	26
657	26
658	29
659	24
660	15
661	20
662	19
663	22
664	22
665	17
666	22
667	14
668	21
669	17
670	18
671	25
672	31
673	23
674	16
675	26
676	21
677	24
678	18
679	23
680	15
681	11
682	22
683	16
684	26
685	15
686	17
687	22
688	17
689	14
690	19
691	20
692	21
693	26
694	24
695	16
696	21
697	22
698	16
699	13
700	24
701	25
702	22
703	17
704	25
705	25
706	28
707	18
708	17
709	19
710	21
711	24
712	14
713	16
714	13
715	23
716	29
717	17
718	14
719	15
720	19
721	17
722	17
723	15
724	18
725	24
726	11
727	18
728	19
729	15
730	18
731	14
732	20
733	23
734	14
735	7
736	18
737	14
738	14
739	15
740	18
741	17
742	17
743	11
744	21
745	8
746	12
747	19
748	13
749	12
750	11
751	13
752	17
753	17
754	14
755	16
756	13
757	12
758	11
759	13
760	11
761	10
762	8
763	11
764	16
765	12
766	9
767	9
768	8
769	14
770	15
771	7
772	15
773	11
774	6
775	15
776	11
777	9
778	9
779	12
780	8
781	12
782	6
783	10
784	6
785	7
786	9
787	22
788	14
789	4
790	6
791	9
792	6
793	7
794	2
795	10
796	7
797	4
798	3
799	7
800	6
801	5
802	13
803	9
804	7
805	6
806	5
807	2
808	3
809	8
810	6
811	5
812	2
813	8
814	5
815	6
816	7
817	10
818	5
819	7
820	4
821	5
822	9
823	4
824	6
825	11
826	5
827	4
828	6
829	2
830	2
831	1
832	1
833	2
834	4
835	5
836	2
837	6
838	3
839	5
840	3
841	7
842	3
843	2
844	4
845	6
846	1
847	6
848	4
849	3
850	1
851	8
852	3
853	4
854	3
855	6
856	4
857	3
858	2
859	3
860	3
861	2
862	8
863	7
864	11
865	6
866	4
867	7
868	3
869	1
870	4
871	7
872	3
873	6
874	3
875	1
876	2
877	5
878	2
879	7
880	5
881	5
882	4
883	3
884	5
885	6
886	3
887	11
888	6
889	3
890	9
891	3
892	4
893	2
894	3
895	2
896	5
897	7
898	2
899	6
900	3
901	1
902	6
903	1
904	4
905	1
906	5
907	3
908	5
909	4
910	5
911	1
913	8
914	4
915	4
916	4
917	4
919	5
920	3
921	3
922	5
923	2
924	5
925	5
926	6
927	6
928	4
929	4
930	7
931	6
932	4
933	2
934	3
935	2
937	2
938	2
939	4
940	1
941	3
942	3
943	2
944	4
945	4
946	1
947	3
949	2
950	1
951	3
952	1
953	1
954	1
955	5
956	4
957	5
958	5
959	5
961	1
962	1
963	4
964	2
966	1
967	1
968	3
969	1
970	3
971	2
973	1
974	2
975	2
976	1
977	3
978	1
979	2
980	1
981	2
982	1
983	1
984	2
985	4
986	4
987	2
989	2
990	4
991	2
992	1
993	1
997	3
998	2
999	2

