## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=bam_files/sample19.mrkdup.BL.filtered_hist.pdf HISTOGRAM_WIDTH=1000 MINIMUM_PCT=0.5 INPUT=bam_files/sample19.mrkdup.BL.filtered.bam OUTPUT=bam_files/sample19.mrkdup.BL.filtered_inserts.txt TMP_DIR=[tmp]    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 20 23:24:38 BST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
170	167	13	2	241415664	185.27362	65.761724	7460811	FR	5	9	15	21	27	37	51	71	153	333	585			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	6
3	4
4	6
5	6
6	10
7	6
8	8
9	9
10	14
11	14
12	6
13	7
14	3
15	6
16	7
17	6
18	6
19	5
20	7
21	3
22	8
23	8
24	5
25	6
26	6
27	5
28	6
29	4
30	15
31	20
32	21
33	18
34	23
35	37
36	31
37	37
38	42
39	48
40	41
41	69
42	67
43	72
44	79
45	87
46	90
47	109
48	143
49	194
50	221
51	216
52	188
53	230
54	243
55	240
56	274
57	322
58	430
59	528
60	588
61	585
62	571
63	560
64	572
65	586
66	672
67	659
68	827
69	1119
70	1235
71	1142
72	978
73	975
74	994
75	1109
76	1144
77	1269
78	1680
79	2457
80	3191
81	3270
82	2392
83	1750
84	1689
85	1686
86	1746
87	1915
88	2213
89	2891
90	4155
91	4909
92	5217
93	4060
94	3059
95	2781
96	2652
97	3216
98	3871
99	4677
100	5625
101	6013
102	5960
103	5587
104	5191
105	4862
106	4867
107	5226
108	5742
109	6562
110	7793
111	8795
112	8779
113	7620
114	6519
115	6428
116	6790
117	7031
118	7791
119	8853
120	11070
121	14086
122	16787
123	15914
124	12375
125	9645
126	9175
127	9536
128	10489
129	11935
130	14525
131	18588
132	24770
133	30809
134	32019
135	28054
136	24200
137	24789
138	29270
139	36481
140	45190
141	52403
142	55134
143	54407
144	54951
145	55694
146	55760
147	55844
148	58043
149	62459
150	67539
151	73810
152	78970
153	79920
154	76978
155	76463
156	81508
157	88908
158	99629
159	110778
160	119158
161	125537
162	131897
163	142877
164	160566
165	178895
166	187171
167	187564
168	184819
169	179297
170	170508
171	160885
172	153764
173	150548
174	148840
175	148423
176	144812
177	138791
178	129638
179	119126
180	109939
181	100616
182	92595
183	85861
184	81496
185	77026
186	74368
187	71639
188	68388
189	64328
190	59679
191	54894
192	50636
193	46508
194	43502
195	40349
196	38500
197	36983
198	35190
199	33793
